City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,calvinia,-31.4707,19.776,26.62,17,0,1.98,ZA,1707687956
83,port elizabeth,-33.918,25.5701,21.17,83,0,6.69,ZA,1707687956
84,badger,64.8,-147.5333,-4.8,91,100,1.54,US,1707687956
85,mount isa,-20.7333,139.5,26.87,74,13,0.0,AU,1707687919
86,invercargill,-46.4,168.35,13.9,78,100,3.13,NZ,1707687957
87,bredasdorp,-34.5322,20.0403,18.8,83,51,3.11,ZA,1707687957
88,la ronge,55.1001,-105.2842,1.14,60,40,5.66,CA,1707687957
89,freetown,8.484,-13.2299,27.84,83,40,4.12,SL,1707687958
90,ekuvukeni,-28.4675,30.1551,16.82,83,77,1.21,ZA,1707687958
91,sho'rchi,38.0141,67.7899,12.33,29,82,3.22,UZ,1707687958
92,miandrivazo,-19.5167,45.4667,25.74,93,100,1.33,MG,1707687958
93,lihue,21.9789,-159.3672,25.97,70,75,3.6,US,1707687958
94,flying fish cove,-10.4217,105.6791,27.92,63,52,2.17,CX,1707687959
95,sergeyevka,53.88,67.4158,-21.09,98,13,3.21,KZ,1707687959
96,praya,14.9215,-23.5087,23.3,73,20,5.14,CV,1707687959
97,petra,30.3222,35.4793,9.08,47,84,3.85,JO,1707687959
98,isafjordur,66.0755,-23.124,0.43,81,84,11.82,IS,1707687959
99,touba,8.2833,-7.6833,28.57,20,22,1.29,CI,1707687960
100,whitehorse,60.7161,-135.0538,-0.57,66,100,6.17,CA,1707687960
101,belmonte,-15.8631,-38.8828,25.86,85,74,3.45,BR,1707687960
102,nova sintra,14.8667,-24.7167,20.86,75,0,3.28,CV,1707687960
103,magadan,59.5667,150.8,-22.6,89,100,2.89,RU,1707687961
104,semera,11.501,41.201,25.15,66,27,7.35,ET,1707687961
105,crane,31.3974,-102.3501,6.88,67,64,9.9,US,1707687961
106,ulsteinvik,62.3432,5.8487,3.75,69,100,5.36,NO,1707687961
107,colonia,50.9333,6.95,9.47,79,100,2.06,DE,1707687962
